,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
0,13 Hours,Michael Bay,144,Toby Stephens,Action,50000000,69400000,19400000,0.0,2016,7.4
1,16 Blocks,Richard Donner,102,Bruce Willis,Action,52000000,65000000,13000000,0.0,2006,6.6
2,17 Again,Burr Steers,102,Matthew Perry,Comedy,20000000,139000000,119000000,0.0,2009,6.4
3,1982,Tommy Oliver,90,Bokeem Woodbine,Drama,1000000,2000000,1000000,0.0,2013,7.1
4,2 Fast 2 Furious,John Singleton,107,Paul Walker,Action,76000000,236000000,160000000,0.0,2003,5.9
5,2 Guns,Baltasar Kormákur,109,Denzel Washington,Action,61000000,132000000,71000000,0.0,2013,6.7
6,2012,Roland Emmerich,158,Oliver Platt,Action,200000000,800000000,600000000,0.0,2009,5.8
7,21,Robert Luketic,123,Kevin Spacey,Crime,35000000,81000000,46000000,0.0,2008,6.8
8,22 Jump Street,Phil Lord,112,Channing Tatum,Action,50000000,331000000,281000000,0.0,2014,7.1
9,27 Dresses,Anne Fletcher,111,Judy Greer,Comedy,30000000,160000000,130000000,0.0,2008,6.1
10,3 Backyards,Eric Mendelsohn,88,Embeth Davidtz,Drama,300000,1000000,700000,0.0,2010,5.2
11,30 Days of Night,David Slade,113,Danny Huston,Horror,32000000,75000000,43000000,0.0,2007,6.6
12,300,Zack Snyder,117,Gerard Butler,Action,65000000,456000000,391000000,0.0,2006,7.7
13,300: Rise of an Empire,Noam Murro,102,Eva Green,Action,110000000,337000000,227000000,0.0,2014,6.2
14,3000 Miles to Graceland,Demian Lichtenstein,125,Jon Lovitz,Action,42000000,77000000,35000000,0.0,2001,5.9
15,47 Ronin,Carl Rinsch,128,Keanu Reeves,Action,175000000,152000000,-23000000,0.0,2013,6.3
16,50 First Dates,Peter Segal,99,Adam Sandler,Comedy,75000000,197000000,122000000,0.0,2004,6.8
17,9,Shane Acker,79,Martin Landau,Action,30000000,37000000,7000000,0.0,2009,7.1
18,A Christmas Carol,Robert Zemeckis,96,Robin Wright,Animation,200000000,325000000,125000000,0.0,2009,6.8
19,A Good Day to Die Hard,John Moore,101,Bruce Willis,Action,92000000,305000000,213000000,0.0,2013,5.3
20,A Knight's Tale,Brian Helgeland,144,Heath Ledger,Action,65000000,117000000,52000000,0.0,2001,6.9
21,A Madea Christmas,Tyler Perry,100,Alicia Witt,Comedy,25000000,53000000,28000000,0.0,2013,4.7
22,A Man Apart,F. Gary Gray,109,Vin Diesel,Action,36000000,47000000,11000000,0.0,2003,6.1
23,A Million Ways to Die in the West,Seth MacFarlane,136,Liam Neeson,Western,40000000,87000000,47000000,0.0,2014,6.1
24,A Monster in Paris,Bibo Bergeron,90,Adam Goldberg,Animation,25000000,26000000,1000000,0.0,2011,6.8
25,A Most Wanted Man,Anton Corbijn,122,Philip Seymour Hoffman,Crime,15000000,36000000,21000000,0.0,2014,6.8
26,A Shine of Rainbows,Vic Sarin,101,Connie Nielsen,Drama,6000000,3000000,-3000000,0.0,2009,7.2
27,A Sound of Thunder,Peter Hyams,102,David Oyelowo,Action,52000000,58000000,6000000,0.0,2005,4.2
28,A Thousand Words,Brian Robbins,91,John Gatins,Comedy,40000000,22000000,-18000000,0.0,2012,5.9
29,Ãon Flux,Karyn Kusama,93,Charlize Theron,Sci-Fi,62000000,52600000,-9400000,0.0,2005,5.5
30,Abduction,John Singleton,106,Ken Arnold,Action,35000000,50000000,15000000,0.0,2011,5.0
31,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,105,Rufus Sewell,Action,69000000,116000000,47000000,0.0,2012,5.9
